date_start,date_end,type_chs,location,region,season_type,damage_rub
1999-05-21,1999-05-22,Затор,(р. Лена),Республика Саха (Якутия),весенний,
1999-06-01,1999-06-30,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
1999-07-01,1999-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
1999-07-03,1999-07-03,Ветер,(г. Вилюйск),Республика Саха (Якутия),другой,
1999-10-25,1999-10-28,Раннее ледообразование,(р. Лена),Республика Саха (Якутия),осенний,
1999-11-14,1999-11-14,Сильный мороз," (Усть-Яновский Улус, п. Усть-Куйга)",Республика Саха (Якутия),осенний,
2000-08-01,2000-08-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2000-08-08,2000-08-08,Ветер,(пос. Пеледуй),Республика Саха (Якутия),другой,
2001-05-15,2001-05-25,Половодье,(р. Лена),Республика Саха (Якутия),весенний,
2001-05-15,2001-05-25,Затор,(р. Лена),Республика Саха (Якутия),весенний,
2001-05-18,2001-05-18,Паводок,"(г. Ленск, р. Лена)",Республика Саха (Якутия),весенний,
2001-05-20,2001-05-22,Половодье,(р. Лена),Республика Саха (Якутия),весенний,
2001-05-20,2001-05-22,Затор,(р. Лена),Республика Саха (Якутия),весенний,
2001-05-20,2001-05-21,Затор,(г. Якутск р. Лена),Республика Саха (Якутия),весенний,
2001-05-20,2001-05-21,Половодье,(г. Якутск р. Лена),Республика Саха (Якутия),весенний,
2001-07-01,2001-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2001-08-01,2001-08-20,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2002-05-01,2002-05-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2002-05-19,2002-05-25,Половодье,"(реки Алдан, Вилюй)",Республика Саха (Якутия),весенний,
2002-06-05,2002-06-10,Половодье,(бассейн р. Оленек),Республика Саха (Якутия),весенний,
2002-07-01,2002-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2002-08-01,2002-08-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2003-07-01,2003-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2003-08-15,2003-08-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2004-06-10,2004-06-20,Паводок,(р. Лена),Республика Саха (Якутия),весенний,
2004-06-10,2004-06-20,Половодье,(р. Лена),Республика Саха (Якутия),весенний,
2004-06-12,2004-06-12,Ветер,(в п. Сангар до 29 м/сек.. в Намцах до 25 м/сек.),Республика Саха (Якутия),весенний,
2004-06-23,2004-06-30,Половодье,(р. Яна),Республика Саха (Якутия),весенний,
2004-06-23,2004-06-30,Половодье,(р. Индигирка),Республика Саха (Якутия),весенний,
2004-08-02,2004-08-06,Паводок,(н.п. Терють и Усть - Нера),Республика Саха (Якутия),другой,
2004-12-01,2004-12-20,Сильный мороз,,Республика Саха (Якутия),осенний,
2005-03-03,2005-03-04,Ветер,(cеверо-запад),Республика Саха (Якутия),другой,
2005-03-03,2005-03-04,Метель,(cеверо-запад),Республика Саха (Якутия),другой,
2005-05-17,2005-05-17,Ветер,(Марнинский р-он),Республика Саха (Якутия),весенний,
2005-07-11,2005-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2005-07-24,2005-07-29,Паводок,(реки бассейна Яны и правых горных притоках среднего течения р. Алдан),Республика Саха (Якутия),другой,
