Date;Value
2003-09-05;371
2003-09-06;366
2003-09-07;360
2003-09-08;360
2003-09-09;360
2003-09-10;372
2003-09-11;381
2003-09-12;391
2003-09-13;429
2003-09-14;442
2003-09-15;426
2003-09-16;409
2003-09-17;390
2003-09-18;373
2003-09-19;358
2003-09-20;348
2003-09-21;353
2003-09-22;366
2003-09-23;376
2003-09-24;380
2003-09-25;380
2003-09-26;370
2003-09-27;368
2003-09-28;368
2003-09-29;368
2003-09-30;368
2003-10-01;365
2003-10-02;363
2003-10-03;354
2003-10-04;347
2003-10-05;338
2003-10-06;328
2003-10-07;320
2003-10-08;311
2003-10-09;306
2003-10-10;300
2003-10-11;293
2003-10-12;285
2003-10-13;275
2003-10-14;267
2003-10-15;267
2003-10-16;256
2003-10-17;247
2003-10-18;239
2003-10-19;234
2003-10-20;228
2003-10-21;220
2003-10-22;227
2003-10-23;222
2003-10-24;217
2003-10-25;185
2003-10-26;185
2003-10-27;185
2003-10-28;190
2003-10-29;182
2003-10-30;173
2003-10-31;140
2003-11-01;113
2003-11-02;90
2003-11-03;72
2003-11-04;190
2003-11-05;181
2003-11-06;155
2003-11-10;180
2003-11-11;191
2003-11-12;198
2003-12-12;198
2004-04-20;101
2004-04-21;101
2004-04-22;101
2004-04-23;102
2004-04-24;102
2004-04-25;102
2004-04-26;102
2004-04-27;102
2004-04-28;103
2004-04-29;103
2004-04-30;105
2004-05-01;105
2004-05-02;105
2004-05-03;106
2004-05-04;106
2004-05-05;106
2004-05-06;101
2004-05-07;101
2004-05-08;101
2004-05-09;101
2004-05-10;101
2004-05-11;106
2004-05-12;113
2004-05-13;118
2004-05-14;128
2004-05-15;141
2004-05-16;152
2004-05-17;165
2004-05-18;189
2004-05-19;228
2004-05-20;273
2004-06-22;839
2004-06-23;846
2004-06-24;862
2004-06-25;862
2004-06-26;842
2004-06-27;847
2004-06-28;840
2004-06-29;835
2004-06-30;803
2004-07-01;730
2004-07-02;703
2004-07-03;680
2004-07-04;653
2004-07-05;625
2004-07-06;609
2004-07-07;581
2004-07-08;558
2004-07-09;526
2004-07-10;516
2004-07-11;512
2004-07-12;506
2004-07-13;506
