source_file,dimension,key,expected_count,actual_count,completeness_ratio,notes
data/СТС.csv,site_year_columns,R60,36,3,0.08333333333333333,row_index=73
data/СТС.csv,site_year_columns,R61,36,4,0.1111111111111111,row_index=74
data/СТС.csv,site_year_columns,R7,36,3,0.08333333333333333,row_index=75
data/СТС.csv,site_year_columns,R8,36,4,0.1111111111111111,row_index=76
data/СТС.csv,site_year_columns,R9,36,32,0.8888888888888888,row_index=77
data/СТС.csv,site_year_columns,nan,36,7,0.19444444444444445,row_index=78
data/СТС.csv,site_year_columns,nan,36,5,0.1388888888888889,row_index=79
data/СТС.csv,site_year_columns,nan,36,6,0.16666666666666666,row_index=80
data/СТС.csv,site_year_columns,nan,36,3,0.08333333333333333,row_index=81
data/СТС.csv,site_year_columns,nan,36,2,0.05555555555555555,row_index=82
data/mchs_events.csv,year,1991,,2,,count-only yearly events
data/mchs_events.csv,year,1992,,3,,count-only yearly events
data/mchs_events.csv,year,1994,,2,,count-only yearly events
data/mchs_events.csv,year,1996,,1,,count-only yearly events
data/mchs_events.csv,year,1997,,2,,count-only yearly events
data/mchs_events.csv,year,1998,,1,,count-only yearly events
data/mchs_events.csv,year,1999,,3,,count-only yearly events
data/mchs_events.csv,year,2000,,2,,count-only yearly events
data/mchs_events.csv,year,2001,,2,,count-only yearly events
data/mchs_events.csv,year,2002,,4,,count-only yearly events
data/mchs_events.csv,year,2003,,1,,count-only yearly events
data/mchs_events.csv,year,2004,,5,,count-only yearly events
data/mchs_events.csv,year,2005,,4,,count-only yearly events
data/mchs_events.csv,year,2006,,1,,count-only yearly events
data/mchs_events.csv,year,2007,,1,,count-only yearly events
data/mchs_events.csv,year,2008,,4,,count-only yearly events
data/mchs_events.csv,year,2009,,3,,count-only yearly events
data/mchs_events.csv,year,2011,,3,,count-only yearly events
data/mchs_events.csv,year,2012,,3,,count-only yearly events
data/mchs_events.csv,year,2013,,2,,count-only yearly events
data/mchs_events.csv,year,2014,,5,,count-only yearly events
data/mchs_events.csv,year,2016,,2,,count-only yearly events
data/mchs_events.csv,year,2017,,1,,count-only yearly events
data/mchs_events.csv,year,2018,,4,,count-only yearly events
data/mchs_events.csv,year,2021,,1,,count-only yearly events
